Team	Num Shots	EFG	Situational EFG (qSQ)	EFG+ (qSI)	Shots per 100 Possessions	Video Link
ATL	447	46.42058165548099	52.16093464956114	-5.740352994080155	91.22448979591836	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%221%22%5D%7D>Watch</a>
BOS	441	43.99092970521542	51.96020498030698	-7.969275275091565	89.63414634146342	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%222%22%5D%7D>Watch</a>
OKC	413	53.87409200968523	50.28578840470158	3.588303604983651	89.20086393088553	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2225%22%5D%7D>Watch</a>
TOR	408	44.240196078431374	50.821957714111086	-6.581761635679716	89.08296943231441	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2228%22%5D%7D>Watch</a>
DAL	405	47.28395061728395	50.24596886510458	-2.9620182478206303	88.23529411764706	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%226%22%5D%7D>Watch</a>
IND	376	48.40425531914894	50.42372470873622	-2.019469389587289	82.45614035087719	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2211%22%5D%7D>Watch</a>
POR	350	44.285714285714285	51.994496357963236	-7.708782072248952	92.34828496042216	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2222%22%5D%7D>Watch</a>
GSW	338	53.55029585798817	52.127081802977564	1.4232140550106038	84.07960199004975	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%229%22%5D%7D>Watch</a>
LAC	336	47.32142857142857	47.511571324635824	-0.19014275320725055	88.65435356200527	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2212%22%5D%7D>Watch</a>
CLE	334	54.64071856287425	49.78120082989082	4.859517732983428	95.15669515669516	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%225%22%5D%7D>Watch</a>
HOU	334	45.209580838323355	52.3516314741128	-7.142050635789449	83.08457711442786	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22true%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2210%22%5D%7D>Watch</a>
