Team	Num Shots Against	EFG	Situational EFG (qSQ)	EFG+ (qSI)	Shots Against per 100 Possessions	Video Link
CHI	7315	48.62611073137389	49.44506630446681	-0.8189555730929223	91.7931986447484	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%224%22%5D%7D>Watch</a>
GSW	7301	47.94548691960006	49.76278067276487	-1.8172937531648135	88.38983050847457	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%229%22%5D%7D>Watch</a>
OKC	7163	48.582995951417004	50.865888080788025	-2.28289212937102	89.39223761387744	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2225%22%5D%7D>Watch</a>
SAC	7079	52.217827376748126	51.32435882289835	0.8934685538497836	86.75245098039215	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2223%22%5D%7D>Watch</a>
ATL	7033	48.087587089435516	49.40070604150116	-1.3131189520656388	87.55135067845139	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%221%22%5D%7D>Watch</a>
NYK	7022	48.87496439760752	50.44863193381924	-1.5736675362117243	91.0057024364956	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2218%22%5D%7D>Watch</a>
LAL	7005	52.37687366167024	51.522059508937396	0.8548141527328414	88.72704243191893	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2213%22%5D%7D>Watch</a>
PHI	6974	51.11843991970175	50.28622895251638	0.8322109671853675	86.54753040456688	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2220%22%5D%7D>Watch</a>
BKN	6961	53.51960925154432	51.73705041736228	1.7825588341820338	88.38242762823768	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2217%22%5D%7D>Watch</a>
CHA	6943	49.7695520668299	48.99360656867861	0.7759454981512949	87.75278058645097	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222015%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%225312%22%5D%7D>Watch</a>
