Team	Num Shots Against	EFG	Situational EFG (qSQ)	EFG+ (qSI)	Shots Against per 100 Possessions	Video Link
BOS	6660	50.548048048048045	50.06164701629396	0.4864010317540901	86.50474087543837	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%222%22%5D%7D>Watch</a>
DAL	6635	51.62019593067068	50.68562736022782	0.9345685704428679	85.33762057877814	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%226%22%5D%7D>Watch</a>
CHI	6633	47.05261570933213	48.76477888204751	-1.7121631727153848	88.93805309734513	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%224%22%5D%7D>Watch</a>
SAC	6608	51.187953995157386	50.61664040608108	0.5713135890763036	85.85163050539171	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2223%22%5D%7D>Watch</a>
UTA	6601	51.984547795788515	50.88587308877897	1.0986747070095417	87.38416732856764	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2226%22%5D%7D>Watch</a>
MIL	6598	52.2127917550773	50.58025737106929	1.6325343840080073	86.97600843659372	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2215%22%5D%7D>Watch</a>
NOP	6549	51.343716597953886	50.483835797675574	0.85988080027831	85.4849236392116	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%223%22%5D%7D>Watch</a>
WAS	6519	50.59058137751189	49.587056643486555	1.0035247340253304	84.72835976085261	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2227%22%5D%7D>Watch</a>
MEM	6474	49.752857584182884	49.07196019454383	0.6808973896390604	87.13324360699866	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2229%22%5D%7D>Watch</a>
TOR	6458	49.543202229792506	49.754255853226894	-0.21105362343439174	85.60445387062566	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2228%22%5D%7D>Watch</a>
MIA	6442	51.179757839180375	50.62636111715941	0.5533967220209676	85.15532055518837	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2214%22%5D%7D>Watch</a>
BKN	6387	51.009863785814936	50.38020121977024	0.6296625660446918	85.04660452729695	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2217%22%5D%7D>Watch</a>
NYK	6377	51.48972871256076	50.86209530901429	0.6276334035464701	85.27681198181331	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222013%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2218%22%5D%7D>Watch</a>
