Team,year,EFG_playoffs,qSQ_playoffs,qSI_playoffs,EFG_reg,qSQ_reg,qSI_reg,EFG_def_reg,qSQ_def_reg,qSI_def_reg
SAS,2014,54.6366594360087,50.2224969924571,4.41416244355154,53.6528345996493,51.0059130877449,2.64692151190444,48.2862903225806,47.8085045856345,0.477785736946174
OKC,2014,50,48.434755591473,1.56524440852696,52.0325203252033,49.5830859436211,2.44943438158219,48.7452304079836,50.4999356274146,-1.75470521943106
MIA,2014,55.7251908396947,50.7686090611332,4.95658177856147,55.6273946360153,52.4547488081164,3.17264582789894,51.1797578391804,50.6263611171594,0.553396722020968
IND,2014,50.4252303330971,48.6402203327708,1.78501000032628,49.1685736079329,48.5696161374351,0.598957470497733,46.0695780903035,48.3243960579816,-2.2548179676781
LAC,2014,51.5013648771611,49.3867211414093,2.11464373575176,52.6882518936581,50.9070604179764,1.78119147568173,48.5139229548406,50.4711262917821,-1.9572033369415
POR,2014,48.5401459854015,49.0918968932185,-0.55175090781703,50.4298196166855,49.6725317040387,0.757287912646725,48.9053130665179,49.1795923226345,-0.274279256116562
BKN,2014,51.2208657047725,49.2568910122248,1.96397469254765,51.2146396036439,49.5760210781766,1.63861852546732,51.0098637858149,50.3802012197702,0.629662566044692
WAS,2014,46.7428571428571,49.0412537729141,-2.29839663005693,50.6250919252831,49.7922283257155,0.832863599567625,50.5905813775119,49.5870566434866,1.00352473402533
MEM,2014,44.3627450980392,49.6774455893337,-5.31470049129444,49.5520382260714,49.6362160086325,-0.0841777825611278,49.7528575841829,49.0719601945438,0.68089738963906
DAL,2014,49.5065789473684,47.8364834592933,1.67009548807516,52.6857393081302,49.9866895794288,2.69904972870136,51.6201959306707,50.6856273602278,0.934568570442868
GSW,2014,51.8041237113402,51.6988175742605,0.105306137079677,51.7862350539516,49.9722812046132,1.81395384933838,47.7985569135621,48.96229625517,-1.16373934160798
ATL,2014,45.8105646630237,50.4559248418129,-4.64536017878923,51.6197718631179,51.4879870210545,0.131784842063384,50.9151785714286,49.1444197649247,1.77075880650386
HOU,2014,49.0859232175503,50.8969444777402,-1.81102126018996,53.0536095035029,52.5694884606948,0.484121042808134,49.0186525612472,50.3668042169532,-1.348151655706
TOR,2014,48.546511627907,48.2925073776183,0.254004250288681,49.8561695685087,48.7874260467249,1.06874352178378,49.5432022297925,49.7542558532269,-0.211053623434392
CHI,2014,46.4285714285714,48.8791067735991,-2.45053534502765,47.258064516129,49.0263747780169,-1.76831026188782,47.0526157093321,48.7647788820475,-1.71216317271538
CHA,2014,50.1666666666667,48.7386852976571,1.42798136900956,48.0998341125019,47.7145192266756,0.385314885826299,49.0197534531412,48.5028191636459,0.5169342894953
HOU,2015,50.75,52.9537114554663,-2.20371145546632,51.2565055762082,52.581562657258,-1.32505708104986,48.8631394840402,50.7776818050423,-1.91454232100212
GSW,2015,52.2215810732833,52.2107762620741,0.0108048112092156,54.2439936699755,50.950978590441,3.29301507953453,47.258883248731,48.6526469383935,-1.39376368966257
ATL,2015,48.3929875821768,51.9902009932943,-3.59721341111748,52.8159545861966,51.8795919337026,0.936362652493945,49.2694805194805,49.5865181045782,-0.3170375850977
DAL,2015,49.3478260869565,50.9353874224487,-1.58756133549217,51.6170394643112,50.8496765985742,0.767362865736938,50.5582946635731,50.5086084264878,0.0496862370852908
LAC,2015,51.5215553677092,50.3859932003878,1.13556216732146,53.3421284080915,50.0362200568814,3.30590835121008,49.5228153892037,50.0972647935406,-0.574449404336932
BOS,2015,45.4545454545455,50.3402618013794,-4.88571634683392,49.0662020905923,49.7640308587663,-0.697828768173992,49.4864747577029,49.3007407440686,0.185734013634304
WAS,2015,49.7034400948992,50.2397947856015,-0.536354690702364,50.0221565731167,49.2650157696509,0.757140803465747,48.1438004402054,48.4903886743375,-0.346588234132081
SAS,2015,51.188455008489,49.8362507929468,1.35220421554214,51.9988285254064,50.0028110634782,1.99601746192816,48.4901788331867,48.4518348801598,0.0383439530269925
CHI,2015,47.7432296890672,49.411820644226,-1.66859095515883,49.0874016916456,49.4056573412031,-0.318255649557407,47.3335214446953,48.349940680634,-1.01641923593879
POR,2015,45.3237410071942,49.3734443940753,-4.0497033868811,50.8677098150782,49.5614610102391,1.30624880483911,47.6177090653549,48.4626706231992,-0.844961557844284
CLE,2015,47.7534911961141,49.1617075600884,-1.40821636397421,51.9294294294294,50.8308083959296,1.0986210334998,50.3416010693599,50.0815011581162,0.260099911243654
MIL,2015,42,48.8684629481372,-6.86846294813724,50.030238887209,50.135473472788,-0.105234585579087,48.7849331713244,50.0796255811542,-1.2946924098298
NOP,2015,50,48.6719707249789,1.32802927502107,50.1475796930342,50.2669712732228,-0.119391580188543,49.6386963574694,50.3889922246037,-0.750295867134278
BKN,2015,48.5915492957746,48.2400794262078,0.351469869566865,49.109246171967,48.7909918432013,0.318254328765679,50.6527415143603,50.3543700594475,0.298371454912854
MEM,2015,45.1754385964912,47.7793475339851,-2.60390893749392,48.9086859688196,49.2948817711941,-0.386195802374511,49.2717717717718,48.9643319621355,0.307439809636234
TOR,2015,46.1206896551724,47.2868339121371,-1.16614425696467,50.8818342151676,49.4022823668676,1.47955184829997,50.6194690265487,50.2649024750644,0.35456655148424
ATL,2016,46.420581655481,52.1609346495611,-5.74035299408015,51.7893364242249,53.0190772644804,-1.22974084025556,48.0875870894355,49.4007060415012,-1.31311895206564
BOS,2016,43.9909297052154,51.960204980307,-7.96927527509157,48.8146402329128,51.0690899720347,-2.25444973912187,48.9654669969401,49.3261337568487,-0.360666759908555
