Team	Num Shots Against	EFG	Situational EFG (qSQ)	EFG+ (qSI)	Shots Against per 100 Possessions	Video Link
POR	7115	47.61770906535489	48.462670623199166	-0.844961557844284	91.19456549602666	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2222%22%5D%7D>Watch</a>
SAC	7091	50.63460724862502	50.32412900058675	0.3104782480382667	89.41992433795713	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2223%22%5D%7D>Watch</a>
CHI	7088	47.33352144469526	48.34994068063405	-1.0164192359387891	92.05194805194805	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%224%22%5D%7D>Watch</a>
OKC	6982	48.9043254081925	50.548927790204246	-1.6446023820117517	87.9455850862829	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2225%22%5D%7D>Watch</a>
PHX	6942	49.89916450590608	49.45272559152053	0.4464389143855482	86.92712246431255	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2221%22%5D%7D>Watch</a>
BOS	6913	49.48647475770288	49.30074074406858	0.18573401363430417	86.85764543284333	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%222%22%5D%7D>Watch</a>
DAL	6896	50.558294663573086	50.5086084264878	0.049686237085290755	86.92802218580613	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%226%22%5D%7D>Watch</a>
GSW	6895	47.25888324873097	48.65264693839354	-1.3937636896625734	86.56622724419336	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%229%22%5D%7D>Watch</a>
BKN	6894	50.652741514360315	50.35437005944746	0.2983714549128541	89.00077459333849	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2217%22%5D%7D>Watch</a>
DEN	6882	50.42138913106655	49.92739012223363	0.4939990088329191	86.17580766341096	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%227%22%5D%7D>Watch</a>
HOU	6861	48.863139484040225	50.77768180504234	-1.9145423210021166	87.15701219512195	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2210%22%5D%7D>Watch</a>
CHA	6849	48.634837202511314	48.328372914325875	0.3064642881854389	88.87879574357643	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%225312%22%5D%7D>Watch</a>
MIN	6825	53.6996336996337	50.665603067818054	3.034030631815643	88.29236739974127	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2216%22%5D%7D>Watch</a>
SAS	6822	48.49017883318675	48.45183488015976	0.03834395302699254	87.42791234140715	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2224%22%5D%7D>Watch</a>
WAS	6815	48.14380044020543	48.49038867433751	-0.34658823413208095	87.85612994714451	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2227%22%5D%7D>Watch</a>
LAL	6807	51.814308799764945	50.521960554486725	1.2923482452782253	86.86830015313936	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%2213%22%5D%7D>Watch</a>
DET	6803	50.24254005585771	49.72244154738021	0.5200985084775028	88.48855359001041	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22defTeam%22%3A%5B%228%22%5D%7D>Watch</a>
