Team	Num Shots	EFG	Situational EFG (qSQ)	EFG+ (qSI)	Shots per 100 Possessions	Video Link
HOU	6725	51.25650557620818	52.58156265725804	-1.325057081049862	85.29934043632674	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2210%22%5D%7D>Watch</a>
ATL	6694	52.8159545861966	51.87959193370265	0.9363626524939447	86.57527159855147	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%221%22%5D%7D>Watch</a>
GSW	6951	54.243993669975545	50.95097859044102	3.2930150795345274	87.06162324649299	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%229%22%5D%7D>Watch</a>
DAL	7019	51.617039464311155	50.84967659857422	0.7673628657369377	88.72456073821262	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%226%22%5D%7D>Watch</a>
CLE	6660	51.929429429429426	50.83080839592963	1.0986210334997983	88.28207847295864	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%225%22%5D%7D>Watch</a>
PHX	6993	50.3003003003003	50.66926144472893	-0.36896114442863237	87.59864712514093	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2221%22%5D%7D>Watch</a>
DET	7021	48.233869819114084	50.403754348603584	-2.1698845294894973	91.24106562703054	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%228%22%5D%7D>Watch</a>
UTA	6480	49.44444444444444	50.311003072003736	-0.8665586275592904	87.20226079935406	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2226%22%5D%7D>Watch</a>
PHI	6674	46.09679352712017	50.30529280323351	-4.208499276113347	85.44360517219306	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%2220%22%5D%7D>Watch</a>
NOP	6776	50.14757969303424	50.26697127322278	-0.11939158018854287	89.61777542653088	<a href=/video/shots?res=high&filters=%7B%22seasons%22%3A%5B%222014%22%5D%2C%22isPlayoffGame%22%3A%22false%22%2C%22shootingFouls%22%3A%5B%22fga-nf%22%2C%22fgm-f%22%5D%2C%22offTeam%22%3A%5B%223%22%5D%7D>Watch</a>
